"region","species_name","species_qualified","cu_name_pse","cuid","prSmax","prCV","source"
"Central Coast","Sockeye","SEL","Banks",540,6308,1.05215599239062,"Atlas et al. 2025"
"Central Coast","Sockeye","SEL","Bloomfield",541,644,4.16149068322981,"Atlas et al. 2025"
"Central Coast","Sockeye","SEL","Bonilla",543,8706,0.460716747070986,"Atlas et al. 2025"
"Central Coast","Sockeye","SEL","Borrowman Creek",544,423,0.947990543735225,"Atlas et al. 2025"
"Central Coast","Sockeye","SEL","Canoona",532,8566,0.734298388979687,"Atlas et al. 2025"
"Central Coast","Sockeye","SEL","Curtis Inlet",550,10574,0.51730660109703,"Atlas et al. 2025"
"Central Coast","Sockeye","SEL","Devon",553,6133,0.517365074188815,"Atlas et al. 2025"
"Central Coast","Sockeye","SEL","Evelyn",534,1284,0.838006230529595,"Atlas et al. 2025"
"Central Coast","Sockeye","SEL","Freeda",559,6692,0.77928870292887,"Atlas et al. 2025"
"Central Coast","Sockeye","SEL","Hartley Bay",560,1635,1.03730886850153,"Atlas et al. 2025"
"Central Coast","Sockeye","SEL","Kadjusdis River",563,1316,1.23328267477204,"Atlas et al. 2025"
"Central Coast","Sockeye","SEL","Kainet Creek",535,2215,0.618058690744921,"Atlas et al. 2025"
"Central Coast","Sockeye","SEL","Kdelmashan Creek",564,510,1.6078431372549,"Atlas et al. 2025"
"Central Coast","Sockeye","SEL","Keecha",565,6459,0.937141972441554,"Atlas et al. 2025"
"Central Coast","Sockeye","SEL","Keswar Creek",568,1438,1.16620305980529,"Atlas et al. 2025"
"Central Coast","Sockeye","SEL","Kimsquit",536,6961,0.547191495474788,"Atlas et al. 2025"
"Central Coast","Sockeye","SEL","Kisameet",571,2378,1.0273338940286,"Atlas et al. 2025"
"Central Coast","Sockeye","SEL","Kitkiata",537,26703,0.184361307718234,"Atlas et al. 2025"
"Central Coast","Sockeye","SEL","Kitlope",538,21621,0.645529808982008,"Atlas et al. 2025"
"Central Coast","Sockeye","SEL","Koeye",572,13906,0.590033079246368,"Atlas et al. 2025"
"Central Coast","Sockeye","SEL","Kooryet",573,9641,0.962555751478062,"Atlas et al. 2025"
"Central Coast","Sockeye","SEL","Kwakwa Creek",575,2085,1.28537170263789,"Atlas et al. 2025"
"Central Coast","Sockeye","SEL","Long",524,50305,0.761137063910148,"Atlas et al. 2025"
"Central Coast","Sockeye","SEL","Lowe/Simpson/Weir",578,31494,1.23312376960691,"Atlas et al. 2025"
"Central Coast","Sockeye","SEL","Mary Cove Creek",579,460,1.26739130434783,"Atlas et al. 2025"
"Central Coast","Sockeye","SEL","Mcloughlin",581,347,1.20749279538905,"Atlas et al. 2025"
"Central Coast","Sockeye","SEL","Mikado",582,1733,2.80900173110214,"Atlas et al. 2025"
"Central Coast","Sockeye","SEL","Namu",584,4654,1.24194241512677,"Atlas et al. 2025"
"Central Coast","Sockeye","SEL","Owikeno",525,308836,0.365022212436374,"Atlas et al. 2025"
"Central Coast","Sockeye","SEL","Port John",585,2127,0.814292430653503,"Atlas et al. 2025"
"Central Coast","Sockeye","SEL","Price Creek",587,1467,1.15610088616224,"Atlas et al. 2025"
"Central Coast","Sockeye","SEL","Sheneeza Inlet",592,782,1.02557544757033,"Atlas et al. 2025"
"Central Coast","Sockeye","SEL","South Atnarko Lakes",528,16541,0.998428148237712,"Atlas et al. 2025"
"Central Coast","Sockeye","SEL","Tankeeah River",597,3634,1.40478811227298,"Atlas et al. 2025"
"Central Coast","Sockeye","SEL","Tuno Creek East",600,513,1.31578947368421,"Atlas et al. 2025"
"Central Coast","Sockeye","SEL","Tuno Creek West",601,598,1.31103678929766,"Atlas et al. 2025"
"Central Coast","Sockeye","SEL","Yeo",607,2082,0.740153698366955,"Atlas et al. 2025"
"Haida Gwaii","Sockeye","SEL","Awun",820,15106,0.586588110684496,"Atlas et al. 2025"
"Haida Gwaii","Sockeye","SEL","Fairfax",821,721,1.01109570041609,"Atlas et al. 2025"
"Haida Gwaii","Sockeye","SEL","Marian/Eden",823,23421,0.595533922548141,"Atlas et al. 2025"
"Haida Gwaii","Sockeye","SEL","Mathers",824,3827,0.857590802194931,"Atlas et al. 2025"
"Haida Gwaii","Sockeye","SEL","Mercer",825,2475,0.84,"Atlas et al. 2025"
"Haida Gwaii","Sockeye","SEL","Skidegate",826,18559,0.702408534942615,"Atlas et al. 2025"
"Haida Gwaii","Sockeye","SEL","Yakoun",827,23805,0.640327662255829,"Atlas et al. 2025"
"Nass","Sockeye","SEL","Bowser",420,5610,7.63600713012478,"Atlas et al. 2025"
"Nass","Sockeye","SEL","Damdochax",421,4862,0.694364459070341,"Atlas et al. 2025"
"Nass","Sockeye","SEL","Fred Wright",422,20195,0.448427828670463,"Atlas et al. 2025"
"Nass","Sockeye","SEL","Meziadin",424,175032,0.43279514603044,"Atlas et al. 2025"
"Skeena","Sockeye","SEL","Alastair",171,49064,0.318930376650905,"Atlas et al. 2025"
"Skeena","Sockeye","SEL","Asitika",190,1093,0.897529734675206,"Atlas et al. 2025"
