"region","species_name","species_qualified","cuid","cu_name_pse","sr_red_prob","sr_yellow_prob","sr_green_prob","percentile_red_prob","percentile_yellow_prob","percentile_green_prob","hist_red","hist_yellow","hist_green","sr_status","percentile_status","psf_status_code_all","psf_status_type","psf_status_code","psf_status"
"Central Coast","Chinook","CK",509,"Docee",NA,NA,NA,92.78,7.22,0,"#CC0000","#FFFFFF","#FFFFFF",NA,"poor","8","percentile","8","data-deficient"
"Central Coast","Chinook","CK",510,"Rivers Inlet",7.0238,92.881,0.0952,27.26,72.74,0,"#FFFFFF","#FFFF00","#FFFFFF","fair","fair","8","sr","8","data-deficient"
"Central Coast","Chinook","CK",511,"Wannock",0,0.0476,99.9524,0.04,99.94,0.02,"#FFFFFF","#FFFF00","#FFFFFF","good","fair","8","sr","8","data-deficient"
"Central Coast","Chinook","CK",512,"Bella Coola-Bentinck",0,0.0476,99.9524,0,59.58,40.42,"#FFFFFF","#FFFF00","#FFFFFF","good","fair","8","sr","8","data-deficient"
"Central Coast","Chinook","CK",513,"Dean River",0,0,100,0,99.74,0.26,"#FFFFFF","#FFFF00","#FFFFFF","good","fair","8","sr","8","data-deficient"
"Central Coast","Chinook","CK",514,"North & Central Coast-Late",NA,NA,NA,0.04,99.96,0,"#FFFFFF","#FFFF00","#FFFFFF",NA,"fair","2, 3","absolute","3","poor"
"Central Coast","Chinook","CK",515,"North & Central Coast-Early",0,0,100,0,97.14,2.86,"#FFFFFF","#FFFF00","#FFFFFF","good","fair","8","sr","8","data-deficient"
"Central Coast","Chum","CM",500,"Smith Inlet",87.2143,12.7857,0,100,0,0,"#CC0000","#FFFFFF","#FFFFFF","poor","poor","3","sr","3","poor"
"Central Coast","Chum","CM",501,"Rivers Inlet",99.9762,0.0238,0,96.8,3.2,0,"#CC0000","#FFFFFF","#FFFFFF","poor","poor","3","sr","3","poor"
"Central Coast","Chum","CM",502,"Wannock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7, 8, 9",NA,"9","data-deficient"
"Central Coast","Chum","CM",503,"Spiller-Fitz-Hugh-Burke",8.9762,91.0238,0,100,0,0,"#CC0000","#FFFFFF","#FFFFFF","fair","poor","2","sr","2","fair"
"Central Coast","Chum","CM",504,"Bella Coola-Dean Rivers",0,97.119,2.881,48.46,51.54,0,"#FFFFFF","#FFFF00","#FFFFFF","fair","fair","2","sr","2","fair"
"Central Coast","Chum","CM",505,"Bella Coola River-Late",NA,NA,NA,3.44,96.56,0,"#FFFFFF","#FFFF00","#FFFFFF",NA,"fair","7",NA,"7","data-deficient"
"Central Coast","Chum","CM",506,"Hecate Lowlands",64.8571,35.1429,0,100,0,0,"#CC0000","#FFFFFF","#FFFFFF","poor","poor","3","sr","3","poor"
"Central Coast","Chum","CM",507,"Mussel-Kynoch",16.9048,83.0952,0,100,0,0,"#CC0000","#FFFFFF","#FFFFFF","fair","poor","2","sr","2","fair"
"Central Coast","Chum","CM",508,"Douglas-Gardner",54.9286,45.0714,0,99.46,0.54,0,"#CC0000","#FFFFFF","#FFFFFF","poor","poor","3","sr","3","poor"
