"regionname","species","cuid","cu_name_pse","survey_quality","survey_coverage","survey_execution","catch_quality","stockid_quality","juvenile_quality","runtiming_quality","dq_score","spawner_surveys","juvenile_surveys","spawner_abundance","run_timing","catch_run_size","recruits_per_spawner","trends_spawner_abund","biological_status"
"Skeena","Lake sockeye",171,"Alastair",3,5,4,5,0,0,1,17,4,0,4,1,5,4,4,4
"Skeena","Lake sockeye",174,"Ecstall/Lower",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"Skeena","Lake sockeye",175,"Johnston",0,1,0,0,0,0,1,1,1,0,1,1,0,1,1,1
"Skeena","Lake sockeye",176,"Kitsumkalum",3,4,4,5,0,0,1,16,4,0,4,1,5,4,4,4
"Skeena","Lake sockeye",177,"Lakelse",2,5,3,5,0,0,1,15,3,0,3,1,5,4,3,4
"Skeena","Lake sockeye",178,"Mcdonell/Dennis/Aldrich",0,0,0,5,0,0,1,5,0,0,0,1,5,5,0,5
"Skeena","Lake sockeye",180,"Babine/Onerka",0,1,4,5,0,0,1,10,2,0,2,1,5,3,2,3
"Skeena","Lake sockeye",181,"Bulkley/Maxan",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"Skeena","Lake sockeye",183,"Gitanyow (Kitwanga/Kitwancool)",2,5,4,5,0,5,1,16,4,5,4,1,5,4,4,4
"Skeena","Lake sockeye",185,"Morice/Atna",0,0,0,5,0,0,1,5,0,0,0,1,5,5,0,5
"Skeena","Lake sockeye",186,"Nilkitkwa",3,5,5,5,0,0,1,18,4,0,4,1,5,4,4,4
"Skeena","Lake sockeye",187,"Stephens",3,5,4,5,0,0,1,17,4,0,4,1,5,4,4,4
"Skeena","Lake sockeye",189,"Tahlo/Morrison",0,1,0,5,0,0,1,6,1,0,1,1,5,3,1,3
"Skeena","Lake sockeye",190,"Asitika",0,1,0,5,0,0,1,6,1,0,1,1,5,3,1,3
"Skeena","Lake sockeye",191,"Azuklotz",2,5,5,5,0,0,1,17,4,0,4,1,5,4,4,4
"Skeena","Lake sockeye",192,"Bear",1,3,3,5,0,0,1,12,2,0,2,1,5,3,2,3
"Skeena","Lake sockeye",193,"Damshilgwit",3,5,3,5,0,0,1,16,4,0,4,1,5,4,4,4
"Skeena","Lake sockeye",194,"Johanson",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"Skeena","Lake sockeye",195,"Kluatantan",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"Skeena","Lake sockeye",196,"Kluayaz",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"Skeena","Lake sockeye",197,"Motase",2,5,4,5,0,0,1,16,4,0,4,1,5,4,4,4
"Skeena","Lake sockeye",198,"Sicintine",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"Skeena","Lake sockeye",199,"Slamgeesh",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"Skeena","Lake sockeye",200,"Spawning",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"Skeena","Lake sockeye",201,"Sustut",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"Skeena","Lake sockeye",203,"Babine (enhanced)",0,0,0,5,0,0,1,5,0,0,0,1,5,5,0,5
"Skeena","Lake sockeye",230,"Footsore/Hodder",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Skeena","Lake sockeye",291,"Prudhomme",0,1,2,0,0,0,0,3,2,0,2,0,0,2,2,2
"Skeena","Lake sockeye",292,"Shawatlan",1,5,3,0,0,0,0,9,3,0,3,0,0,3,3,3
"Skeena","River sockeye",216,"Skeena River-High Interior (river-type)",2,5,5,5,0,0,0,17,4,0,4,0,5,4,4,4
"Skeena","River sockeye",226,"Skeena River (river-type)",0,1,0,0,0,0,0,1,1,0,1,0,0,1,1,1
"Skeena","Pink (odd)",209,"Lower Skeena River (odd)",0,0,0,3,0,0,1,3,0,0,0,1,3,3,0,3
