"regionid","region","cuid","cu_name_pse","species_name","sppqualifiedid","locationid","location_name_pse","pointid","latitude","longitude","year","total_release","program","project","release_stage","cuid_broodstock","facilityid","release_type_pse"
1,"Skeena",283,"Kispiox","Steelhead",10,24419,"DATE CREEK",6325,55.38302,-127.68689,1987,8500,NA,NA,"Fall Fry",283,260,"Fry"
1,"Skeena",283,"Kispiox","Steelhead",10,24420,"MCCULLY CREEK",6326,55.48238,-127.794846,1986,5423,NA,NA,"Fall Fry",283,260,"Fry"
1,"Skeena",283,"Kispiox","Steelhead",10,24420,"MCCULLY CREEK",6326,55.48238,-127.794846,1987,11500,NA,NA,"Fall Fry",283,260,"Fry"
1,"Skeena",283,"Kispiox","Steelhead",10,24421,"NANGEESE RIVER",6327,55.860581,-128.382731,1988,948,NA,NA,"Parr",283,260,"Smolt"
1,"Skeena",285,"Middle Skeena","Steelhead",10,24422,"BULKLEY RIVER",6328,55.24557541,-127.6753655,1986,29956,NA,NA,"Fall Fry",287,289,"Fry"
1,"Skeena",285,"Middle Skeena","Steelhead",10,24422,"BULKLEY RIVER",6328,55.24557541,-127.6753655,1987,30915,NA,NA,"Fall Fry",287,254,"Fry"
1,"Skeena",285,"Middle Skeena","Steelhead",10,24422,"BULKLEY RIVER",6328,55.24557541,-127.6753655,1988,92738,NA,NA,"Fall Fry",287,254,"Fry"
1,"Skeena",285,"Middle Skeena","Steelhead",10,24422,"BULKLEY RIVER",6328,55.24557541,-127.6753655,1991,13774,NA,NA,"Parr",287,289,"Smolt"
1,"Skeena",286,"Suskwa","Steelhead",10,24423,"HAROLD PRICE CREEK",6329,55.277147,-127.169229,1987,117076,NA,NA,"Fall Fry",287,289,"Fry"
1,"Skeena",286,"Suskwa","Steelhead",10,24423,"HAROLD PRICE CREEK",6329,55.277147,-127.169229,1988,58391,NA,NA,"Fall Fry",286,289,"Fry"
1,"Skeena",286,"Suskwa","Steelhead",10,24424,"SUSKWA RIVER",6330,55.230924,-127.44513,1979,15290,NA,NA,"Fry",286,254,"Fry"
1,"Skeena",286,"Suskwa","Steelhead",10,24424,"SUSKWA RIVER",6330,55.230924,-127.44513,1982,48300,NA,NA,"Fry",286,254,"Fry"
1,"Skeena",286,"Suskwa","Steelhead",10,24424,"SUSKWA RIVER",6330,55.230924,-127.44513,1984,50350,NA,NA,"Fry",286,254,"Fry"
1,"Skeena",286,"Suskwa","Steelhead",10,24424,"SUSKWA RIVER",6330,55.230924,-127.44513,1985,132340,NA,NA,"Fall Fry",286,254,"Fry"
1,"Skeena",286,"Suskwa","Steelhead",10,24424,"SUSKWA RIVER",6330,55.230924,-127.44513,1988,46667,NA,NA,"Fry",286,289,"Fry"
1,"Skeena",287,"Bulkley","Steelhead",10,24425,"MORICE RIVER",6331,54.41127142,-126.7460371,1983,69926,NA,NA,"Fry",289,254,"Fry"
1,"Skeena",287,"Bulkley","Steelhead",10,24425,"MORICE RIVER",6331,54.41127142,-126.7460371,1984,61700,NA,NA,"Fry",289,254,"Fry"
1,"Skeena",287,"Bulkley","Steelhead",10,24425,"MORICE RIVER",6331,54.41127142,-126.7460371,1985,83363,NA,NA,"Fall Fry",289,254,"Fry"
1,"Skeena",287,"Bulkley","Steelhead",10,24425,"MORICE RIVER",6331,54.41127142,-126.7460371,1986,76944,NA,NA,"Fry",289,289,"Fry"
1,"Skeena",287,"Bulkley","Steelhead",10,24425,"MORICE RIVER",6331,54.41127142,-126.7460371,1987,83300,NA,NA,"Fall Fry",289,254,"Fry"
1,"Skeena",287,"Bulkley","Steelhead",10,24425,"MORICE RIVER",6331,54.41127142,-126.7460371,1988,23100,NA,NA,"Fall Fry",289,254,"Fry"
1,"Skeena",288,"Skeena Coastal Summers","Steelhead",10,24426,"KITSUMKALUM RIVER",6332,54.52008017,-128.6614158,1986,14296,NA,NA,"Fall Fry",288,252,"Fry"
1,"Skeena",288,"Skeena Coastal Summers","Steelhead",10,24426,"KITSUMKALUM RIVER",6332,54.52008017,-128.6614158,1987,16934,NA,NA,"Fall Fry",288,252,"Fry"
1,"Skeena",288,"Skeena Coastal Summers","Steelhead",10,24426,"KITSUMKALUM RIVER",6332,54.52008017,-128.6614158,1988,5379,NA,NA,"Fall Fry",288,252,"Fry"
1,"Skeena",288,"Skeena Coastal Summers","Steelhead",10,24427,"ZYMOETZ RIVER",6333,54.545324,-128.4755843,1981,51500,NA,NA,"Fry",288,254,"Fry"
1,"Skeena",288,"Skeena Coastal Summers","Steelhead",10,24427,"ZYMOETZ RIVER",6333,54.545324,-128.4755843,1983,137700,NA,NA,"Fry",288,254,"Fry"
1,"Skeena",288,"Skeena Coastal Summers","Steelhead",10,24427,"ZYMOETZ RIVER",6333,54.545324,-128.4755843,1985,72218,NA,NA,"Fall Fry",288,254,"Fry"
1,"Skeena",288,"Skeena Coastal Summers","Steelhead",10,24427,"ZYMOETZ RIVER",6333,54.545324,-128.4755843,1987,25150,NA,NA,"Fall Fry",288,254,"Fry"
1,"Skeena",289,"Morice","Steelhead",10,24428,"HOUSTON TOMMY CREEK",6334,54.27670296,-126.8519488,1988,27520,NA,NA,"Fall Fry",289,254,"Fry"
3,"Central Coast",680,"North Coast Winter","Steelhead",10,24429,"CECIL CREEK",6335,54.20004323,-128.5745066,1986,2934,NA,NA,"Smolt",680,261,"Smolt"
