"regionid","region","cuid","cu_name_pse","species_name","sppqualifiedid","locationid","location_name_pse","pointid","latitude","longitude","year","total_release","program","project","release_stage","cuid_broodstock","facilityid","release_type_pse"
10,"Transboundary",1004,"Alsek","Chinook",5,24585,"Klukshu River",6491,60.11648,-137.034567,1995,2381,NA,NA,"Fed Fry",1004,227,"Fry"
10,"Transboundary",1004,"Alsek","Chinook",5,24585,"Klukshu River",6491,60.11648,-137.034567,1996,2429,NA,NA,"Fed Fry",1004,227,"Fry"
10,"Transboundary",1004,"Alsek","Chinook",5,24585,"Klukshu River",6491,60.11648,-137.034567,1992,5840,NA,NA,"Fed Fry",1004,227,"Fry"
10,"Transboundary",1013,"Alsek","Coho",6,24589,"Klukshu River",6491,60.11648,-137.034567,1993,80,NA,NA,"Fed Fry",1013,228,"Fry"
10,"Transboundary",1013,"Alsek","Coho",6,24589,"Klukshu River",6491,60.11648,-137.034567,1992,20,NA,NA,"Fed Fry",1013,228,"Fry"
10,"Transboundary",1013,"Alsek","Coho",6,24589,"Klukshu River",6491,60.11648,-137.034567,1994,80,NA,NA,"Fed Fry",1013,228,"Fry"
10,"Transboundary",1004,"Alsek","Chinook",5,24585,"Klukshu River",6491,60.11648,-137.034567,1993,3903,NA,NA,"Fed Fry",1004,227,"Fry"
10,"Transboundary",1010,"Stikine-Early Timing","Chinook",5,24586,"Dojatin Creek",6492,57.865,-131.285,2002,12120,NA,NA,"Fed Fry",1010,231,"Fry"
10,"Transboundary",1010,"Stikine-Early Timing","Chinook",5,24586,"Dojatin Creek",6492,57.865,-131.285,2001,26289,NA,NA,"Fed Fry",1010,231,"Fry"
10,"Transboundary",1026,"Tahltan","Lake sockeye",1,24591,"Tahltan River",6493,58.010567,-130.97906,1991,560,NA,NA,"Unfed",1026,230,"Fry"
10,"Transboundary",1026,"Tahltan","Lake sockeye",1,24591,"Tahltan River",6493,58.010567,-130.97906,1992,500,NA,NA,"Unfed",1026,230,"Fry"
10,"Transboundary",1010,"Stikine-Early Timing","Chinook",5,24587,"Tahltan River",6493,58.010567,-130.97906,1993,5000,NA,NA,"Fed Fry",1010,232,"Fry"
10,"Transboundary",1011,"Stikine-Late Timing","Chinook",5,24588,"Stikine River",6494,56.649733,-131.846262,2002,50,NA,NA,"Fed Fry",1011,230,"Fry"
10,"Transboundary",1011,"Stikine-Late Timing","Chinook",5,24588,"Stikine River",6494,56.649733,-131.846262,2001,100,NA,NA,"Fed Fry",1011,230,"Fry"
10,"Transboundary",1023,"Northern Transboundary Fjords (river-type)","River sockeye",2,24597,"Stikine River",6494,56.649733,-131.846262,2002,250,NA,NA,"Fed Fry",1023,230,"Fry"
