"region","species","cuid","cu_name_pse","abundance_type","year","perc_anom"
"Skeena","Chinook",205,"Ecstall","spawner",1980,NA
"Skeena","Chinook",205,"Ecstall","spawner",1981,NA
"Skeena","Chinook",205,"Ecstall","spawner",1982,NA
"Skeena","Chinook",205,"Ecstall","spawner",1983,NA
"Skeena","Chinook",205,"Ecstall","spawner",1984,NA
"Skeena","Chinook",205,"Ecstall","spawner",1985,13.7
"Skeena","Chinook",205,"Ecstall","spawner",1986,21.7
"Skeena","Chinook",205,"Ecstall","spawner",1987,21.7
"Skeena","Chinook",205,"Ecstall","spawner",1988,53.3
"Skeena","Chinook",205,"Ecstall","spawner",1989,59.1
"Skeena","Chinook",205,"Ecstall","spawner",1990,91
"Skeena","Chinook",205,"Ecstall","spawner",1991,51.6
"Skeena","Chinook",205,"Ecstall","spawner",1992,33.7
"Skeena","Chinook",205,"Ecstall","spawner",1993,1.3
"Skeena","Chinook",205,"Ecstall","spawner",1994,-41.8
"Skeena","Chinook",205,"Ecstall","spawner",1995,-51.2
"Skeena","Chinook",205,"Ecstall","spawner",1996,-65.9
"Skeena","Chinook",205,"Ecstall","spawner",1997,-76.3
"Skeena","Chinook",205,"Ecstall","spawner",1998,-76.3
"Skeena","Chinook",205,"Ecstall","spawner",1999,-76.3
"Skeena","Chinook",205,"Ecstall","spawner",2000,-5.3
"Skeena","Chinook",205,"Ecstall","spawner",2001,-18
"Skeena","Chinook",206,"Kalum-Early","spawner",1980,NA
"Skeena","Chinook",206,"Kalum-Early","spawner",1981,NA
"Skeena","Chinook",206,"Kalum-Early","spawner",1982,NA
"Skeena","Chinook",206,"Kalum-Early","spawner",1983,NA
"Skeena","Chinook",206,"Kalum-Early","spawner",1984,NA
"Skeena","Chinook",206,"Kalum-Early","spawner",1985,-15.6
"Skeena","Chinook",206,"Kalum-Early","spawner",1986,-11.4
"Skeena","Chinook",206,"Kalum-Early","spawner",1987,8.3
"Skeena","Chinook",206,"Kalum-Early","spawner",1988,17.1
"Skeena","Chinook",206,"Kalum-Early","spawner",1989,31.4
"Skeena","Chinook",206,"Kalum-Early","spawner",1990,64.5
"Skeena","Chinook",206,"Kalum-Early","spawner",1991,24.4
"Skeena","Chinook",206,"Kalum-Early","spawner",1992,19
"Skeena","Chinook",206,"Kalum-Early","spawner",1993,-1.9
"Skeena","Chinook",206,"Kalum-Early","spawner",1994,-17.2
"Skeena","Chinook",206,"Kalum-Early","spawner",1995,-30.2
"Skeena","Chinook",206,"Kalum-Early","spawner",1996,-37.3
"Skeena","Chinook",206,"Kalum-Early","spawner",1997,-20
"Skeena","Chinook",206,"Kalum-Early","spawner",1998,-18.7
"Skeena","Chinook",206,"Kalum-Early","spawner",1999,-28.6
"Skeena","Chinook",206,"Kalum-Early","spawner",2000,-15.5
"Skeena","Chinook",206,"Kalum-Early","spawner",2001,6.8
"Skeena","Chinook",206,"Kalum-Early","spawner",2002,25.6
"Skeena","Chinook",206,"Kalum-Early","spawner",2003,37.8
"Skeena","Chinook",206,"Kalum-Early","spawner",2004,47.8
"Skeena","Chinook",206,"Kalum-Early","spawner",2005,71.6
"Skeena","Chinook",206,"Kalum-Early","spawner",2006,59.1
"Skeena","Chinook",206,"Kalum-Early","spawner",2007,38.3
"Skeena","Chinook",206,"Kalum-Early","spawner",2008,23.2
"Skeena","Chinook",206,"Kalum-Early","spawner",2009,-2.3
"Skeena","Chinook",206,"Kalum-Early","spawner",2010,-10.4
"Skeena","Chinook",206,"Kalum-Early","spawner",2011,-23.8
"Skeena","Chinook",207,"Kalum-Late","spawner",1984,NA
"Skeena","Chinook",207,"Kalum-Late","spawner",1985,NA
"Skeena","Chinook",207,"Kalum-Late","spawner",1986,NA
"Skeena","Chinook",207,"Kalum-Late","spawner",1987,NA
"Skeena","Chinook",207,"Kalum-Late","spawner",1988,NA
"Skeena","Chinook",207,"Kalum-Late","spawner",1989,24.4
"Skeena","Chinook",207,"Kalum-Late","spawner",1990,27.6
"Skeena","Chinook",207,"Kalum-Late","spawner",1991,28.1
"Skeena","Chinook",207,"Kalum-Late","spawner",1992,34.6
"Skeena","Chinook",207,"Kalum-Late","spawner",1993,30.9
"Skeena","Chinook",207,"Kalum-Late","spawner",1994,28.2
"Skeena","Chinook",207,"Kalum-Late","spawner",1995,8.4
"Skeena","Chinook",207,"Kalum-Late","spawner",1996,3.8
"Skeena","Chinook",207,"Kalum-Late","spawner",1997,-7.4
"Skeena","Chinook",207,"Kalum-Late","spawner",1998,-16.2
"Skeena","Chinook",207,"Kalum-Late","spawner",1999,-21.3
"Skeena","Chinook",207,"Kalum-Late","spawner",2000,-25.4
"Skeena","Chinook",207,"Kalum-Late","spawner",2001,-11.7
"Skeena","Chinook",207,"Kalum-Late","spawner",2002,-7.7
"Skeena","Chinook",207,"Kalum-Late","spawner",2003,15.2
"Skeena","Chinook",207,"Kalum-Late","spawner",2004,40.4
"Skeena","Chinook",207,"Kalum-Late","spawner",2005,45.9
"Skeena","Chinook",207,"Kalum-Late","spawner",2006,41.3
"Skeena","Chinook",207,"Kalum-Late","spawner",2007,31.8
"Skeena","Chinook",207,"Kalum-Late","spawner",2008,21.5
"Skeena","Chinook",207,"Kalum-Late","spawner",2009,7.3
"Skeena","Chinook",207,"Kalum-Late","spawner",2010,-6
"Skeena","Chinook",207,"Kalum-Late","spawner",2011,-13.9
"Skeena","Chinook",207,"Kalum-Late","spawner",2012,-17.9
"Skeena","Chinook",207,"Kalum-Late","spawner",2013,-18.4
"Skeena","Chinook",207,"Kalum-Late","spawner",2014,-13.1
"Skeena","Chinook",207,"Kalum-Late","spawner",2015,-4.3
"Skeena","Chinook",207,"Kalum-Late","spawner",2016,-3.2
"Skeena","Chinook",207,"Kalum-Late","spawner",2017,-10.7
"Skeena","Chinook",207,"Kalum-Late","spawner",2018,-4.2
"Skeena","Chinook",207,"Kalum-Late","spawner",2019,-12.2
"Skeena","Chinook",207,"Kalum-Late","spawner",2020,-22.4
"Skeena","Chinook",210,"Lower Skeena","spawner",1984,NA
"Skeena","Chinook",210,"Lower Skeena","spawner",1985,NA
"Skeena","Chinook",210,"Lower Skeena","spawner",1986,NA
"Skeena","Chinook",210,"Lower Skeena","spawner",1987,NA
"Skeena","Chinook",210,"Lower Skeena","spawner",1988,NA
"Skeena","Chinook",210,"Lower Skeena","spawner",1989,-8.6
"Skeena","Chinook",210,"Lower Skeena","spawner",1990,-1.5
"Skeena","Chinook",210,"Lower Skeena","spawner",1991,0.3
"Skeena","Chinook",210,"Lower Skeena","spawner",1992,30.3
"Skeena","Chinook",210,"Lower Skeena","spawner",1993,17.9
"Skeena","Chinook",210,"Lower Skeena","spawner",1994,13.1
"Skeena","Chinook",210,"Lower Skeena","spawner",1995,10
"Skeena","Chinook",210,"Lower Skeena","spawner",1996,29.8
"Skeena","Chinook",210,"Lower Skeena","spawner",1997,21.2
"Skeena","Chinook",210,"Lower Skeena","spawner",1998,4.6
"Skeena","Chinook",210,"Lower Skeena","spawner",1999,3.4
"Skeena","Chinook",210,"Lower Skeena","spawner",2000,23
"Skeena","Chinook",210,"Lower Skeena","spawner",2001,48.8
"Skeena","Chinook",210,"Lower Skeena","spawner",2002,32.6
"Skeena","Chinook",210,"Lower Skeena","spawner",2003,60
"Skeena","Chinook",210,"Lower Skeena","spawner",2004,86.2
"Skeena","Chinook",210,"Lower Skeena","spawner",2005,68.7
"Skeena","Chinook",210,"Lower Skeena","spawner",2006,63.5
"Skeena","Chinook",210,"Lower Skeena","spawner",2007,47
"Skeena","Chinook",210,"Lower Skeena","spawner",2008,54.5
"Skeena","Chinook",210,"Lower Skeena","spawner",2009,36.1
"Skeena","Chinook",210,"Lower Skeena","spawner",2010,25
"Skeena","Chinook",210,"Lower Skeena","spawner",2011,15.8
"Skeena","Chinook",210,"Lower Skeena","spawner",2012,-5.8
"Skeena","Chinook",210,"Lower Skeena","spawner",2013,-9.9
"Skeena","Chinook",210,"Lower Skeena","spawner",2014,-16.1
"Skeena","Chinook",210,"Lower Skeena","spawner",2015,-15.9
"Skeena","Chinook",210,"Lower Skeena","spawner",2016,-34.7
"Skeena","Chinook",210,"Lower Skeena","spawner",2017,-34.9
"Skeena","Chinook",210,"Lower Skeena","spawner",2018,-28
"Skeena","Chinook",210,"Lower Skeena","spawner",2019,-43.7
"Skeena","Chinook",210,"Lower Skeena","spawner",2020,-48.3
"Skeena","Chinook",212,"Upper Skeena","spawner",1984,NA
"Skeena","Chinook",212,"Upper Skeena","spawner",1985,NA
"Skeena","Chinook",212,"Upper Skeena","spawner",1986,NA
"Skeena","Chinook",212,"Upper Skeena","spawner",1987,NA
"Skeena","Chinook",212,"Upper Skeena","spawner",1988,NA
"Skeena","Chinook",212,"Upper Skeena","spawner",1989,-37
"Skeena","Chinook",212,"Upper Skeena","spawner",1990,-33.1
"Skeena","Chinook",212,"Upper Skeena","spawner",1991,-31.3
"Skeena","Chinook",212,"Upper Skeena","spawner",1992,0.4
"Skeena","Chinook",212,"Upper Skeena","spawner",1993,9
"Skeena","Chinook",212,"Upper Skeena","spawner",1994,24
"Skeena","Chinook",212,"Upper Skeena","spawner",1995,49.1
"Skeena","Chinook",212,"Upper Skeena","spawner",1996,113.5
"Skeena","Chinook",212,"Upper Skeena","spawner",1997,169.9
"Skeena","Chinook",212,"Upper Skeena","spawner",1998,160.1
"Skeena","Chinook",212,"Upper Skeena","spawner",1999,114.2
"Skeena","Chinook",212,"Upper Skeena","spawner",2000,98.9
"Skeena","Chinook",212,"Upper Skeena","spawner",2001,121.1
"Skeena","Chinook",212,"Upper Skeena","spawner",2002,63.8
"Skeena","Chinook",212,"Upper Skeena","spawner",2003,52.9
"Skeena","Chinook",212,"Upper Skeena","spawner",2004,61.1
"Skeena","Chinook",212,"Upper Skeena","spawner",2005,65.9
"Skeena","Chinook",212,"Upper Skeena","spawner",2006,54.4
"Skeena","Chinook",212,"Upper Skeena","spawner",2007,32.7
"Skeena","Chinook",212,"Upper Skeena","spawner",2008,46.6
"Skeena","Chinook",212,"Upper Skeena","spawner",2009,42.4
"Skeena","Chinook",212,"Upper Skeena","spawner",2010,34.4
"Skeena","Chinook",212,"Upper Skeena","spawner",2011,6.5
"Skeena","Chinook",212,"Upper Skeena","spawner",2012,-8.8
"Skeena","Chinook",212,"Upper Skeena","spawner",2013,-20.6
"Skeena","Chinook",212,"Upper Skeena","spawner",2014,-26.1
"Skeena","Chinook",212,"Upper Skeena","spawner",2015,-35.8
"Skeena","Chinook",212,"Upper Skeena","spawner",2016,-49.7
"Skeena","Chinook",212,"Upper Skeena","spawner",2017,-43.4
"Skeena","Chinook",212,"Upper Skeena","spawner",2018,-39.8
"Skeena","Chinook",212,"Upper Skeena","spawner",2019,-47
"Skeena","Chinook",212,"Upper Skeena","spawner",2020,-53.9
"Skeena","Chinook",217,"Middle Skeena-Mainstem Tributaries","spawner",1984,NA
"Skeena","Chinook",217,"Middle Skeena-Mainstem Tributaries","spawner",1985,NA
"Skeena","Chinook",217,"Middle Skeena-Mainstem Tributaries","spawner",1986,NA
"Skeena","Chinook",217,"Middle Skeena-Mainstem Tributaries","spawner",1987,NA
"Skeena","Chinook",217,"Middle Skeena-Mainstem Tributaries","spawner",1988,NA
"Skeena","Chinook",217,"Middle Skeena-Mainstem Tributaries","spawner",1989,-17.2
"Skeena","Chinook",217,"Middle Skeena-Mainstem Tributaries","spawner",1990,-7.2
"Skeena","Chinook",217,"Middle Skeena-Mainstem Tributaries","spawner",1991,-2
"Skeena","Chinook",217,"Middle Skeena-Mainstem Tributaries","spawner",1992,24
"Skeena","Chinook",217,"Middle Skeena-Mainstem Tributaries","spawner",1993,23
"Skeena","Chinook",217,"Middle Skeena-Mainstem Tributaries","spawner",1994,32.6
"Skeena","Chinook",217,"Middle Skeena-Mainstem Tributaries","spawner",1995,25.2
"Skeena","Chinook",217,"Middle Skeena-Mainstem Tributaries","spawner",1996,54
"Skeena","Chinook",217,"Middle Skeena-Mainstem Tributaries","spawner",1997,72.9
"Skeena","Chinook",217,"Middle Skeena-Mainstem Tributaries","spawner",1998,61.3
"Skeena","Chinook",217,"Middle Skeena-Mainstem Tributaries","spawner",1999,33.6
"Skeena","Chinook",217,"Middle Skeena-Mainstem Tributaries","spawner",2000,30.3
"Skeena","Chinook",217,"Middle Skeena-Mainstem Tributaries","spawner",2001,51.6
"Skeena","Chinook",217,"Middle Skeena-Mainstem Tributaries","spawner",2002,29.3
"Skeena","Chinook",217,"Middle Skeena-Mainstem Tributaries","spawner",2003,38.2
"Skeena","Chinook",217,"Middle Skeena-Mainstem Tributaries","spawner",2004,61.2
"Skeena","Chinook",217,"Middle Skeena-Mainstem Tributaries","spawner",2005,67.7
"Skeena","Chinook",217,"Middle Skeena-Mainstem Tributaries","spawner",2006,64
"Skeena","Chinook",217,"Middle Skeena-Mainstem Tributaries","spawner",2007,53.5
"Skeena","Chinook",217,"Middle Skeena-Mainstem Tributaries","spawner",2008,66.4
"Skeena","Chinook",217,"Middle Skeena-Mainstem Tributaries","spawner",2009,59.7
"Skeena","Chinook",217,"Middle Skeena-Mainstem Tributaries","spawner",2010,51.8
"Skeena","Chinook",217,"Middle Skeena-Mainstem Tributaries","spawner",2011,28.1
"Skeena","Chinook",217,"Middle Skeena-Mainstem Tributaries","spawner",2012,5.9
"Skeena","Chinook",217,"Middle Skeena-Mainstem Tributaries","spawner",2013,0
"Skeena","Chinook",217,"Middle Skeena-Mainstem Tributaries","spawner",2014,-6.8
"Skeena","Chinook",217,"Middle Skeena-Mainstem Tributaries","spawner",2015,-13.8
"Skeena","Chinook",217,"Middle Skeena-Mainstem Tributaries","spawner",2016,-34.2
"Skeena","Chinook",217,"Middle Skeena-Mainstem Tributaries","spawner",2017,-37.1
"Skeena","Chinook",217,"Middle Skeena-Mainstem Tributaries","spawner",2018,-31.4
"Skeena","Chinook",217,"Middle Skeena-Mainstem Tributaries","spawner",2019,-46.6
"Skeena","Chinook",217,"Middle Skeena-Mainstem Tributaries","spawner",2020,-57.6
"Skeena","Chinook",221,"Upper Bulkley River","spawner",1980,NA
"Skeena","Chinook",221,"Upper Bulkley River","spawner",1981,NA
"Skeena","Chinook",221,"Upper Bulkley River","spawner",1982,NA
"Skeena","Chinook",221,"Upper Bulkley River","spawner",1983,NA
"Skeena","Chinook",221,"Upper Bulkley River","spawner",1984,NA
"Skeena","Chinook",221,"Upper Bulkley River","spawner",1985,-58.5
"Skeena","Chinook",221,"Upper Bulkley River","spawner",1986,-59.2
"Skeena","Chinook",221,"Upper Bulkley River","spawner",1987,-59.2
"Skeena","Chinook",221,"Upper Bulkley River","spawner",1988,-40.2
"Skeena","Chinook",221,"Upper Bulkley River","spawner",1989,-37.9
"Skeena","Chinook",221,"Upper Bulkley River","spawner",1990,-33.6
"Skeena","Chinook",221,"Upper Bulkley River","spawner",1991,-18.4
"Skeena","Chinook",221,"Upper Bulkley River","spawner",1992,-1.5
"Skeena","Chinook",221,"Upper Bulkley River","spawner",1993,26.2
"Skeena","Chinook",221,"Upper Bulkley River","spawner",1994,8.3
"Skeena","Chinook",221,"Upper Bulkley River","spawner",1995,2
"Skeena","Chinook",221,"Upper Bulkley River","spawner",1996,25.3
"Skeena","Chinook",221,"Upper Bulkley River","spawner",1997,16.2
"Skeena","Chinook",221,"Upper Bulkley River","spawner",1998,11.6
"Skeena","Chinook",221,"Upper Bulkley River","spawner",1999,3.3
"Skeena","Chinook",221,"Upper Bulkley River","spawner",2000,40.7
"Skeena","Chinook",221,"Upper Bulkley River","spawner",2001,123.4
"Skeena","Chinook",221,"Upper Bulkley River","spawner",2002,126
