"scale","abundance_type","region","species","cuid","cu_name_pse","year","perc_anom"
"ConservationUnit","spawner","Skeena","Chinook",205,"Ecstall",1980,NA
"ConservationUnit","spawner","Skeena","Chinook",205,"Ecstall",1981,NA
"ConservationUnit","spawner","Skeena","Chinook",205,"Ecstall",1982,NA
"ConservationUnit","spawner","Skeena","Chinook",205,"Ecstall",1983,NA
"ConservationUnit","spawner","Skeena","Chinook",205,"Ecstall",1984,NA
"ConservationUnit","spawner","Skeena","Chinook",205,"Ecstall",1985,13.7
"ConservationUnit","spawner","Skeena","Chinook",205,"Ecstall",1986,21.7
"ConservationUnit","spawner","Skeena","Chinook",205,"Ecstall",1987,21.7
"ConservationUnit","spawner","Skeena","Chinook",205,"Ecstall",1988,53.3
"ConservationUnit","spawner","Skeena","Chinook",205,"Ecstall",1989,59.1
"ConservationUnit","spawner","Skeena","Chinook",205,"Ecstall",1990,91
"ConservationUnit","spawner","Skeena","Chinook",205,"Ecstall",1991,51.6
"ConservationUnit","spawner","Skeena","Chinook",205,"Ecstall",1992,33.7
"ConservationUnit","spawner","Skeena","Chinook",205,"Ecstall",1993,1.3
"ConservationUnit","spawner","Skeena","Chinook",205,"Ecstall",1994,-41.8
"ConservationUnit","spawner","Skeena","Chinook",205,"Ecstall",1995,-51.2
"ConservationUnit","spawner","Skeena","Chinook",205,"Ecstall",1996,-65.9
"ConservationUnit","spawner","Skeena","Chinook",205,"Ecstall",1997,-76.3
"ConservationUnit","spawner","Skeena","Chinook",205,"Ecstall",1998,-76.3
"ConservationUnit","spawner","Skeena","Chinook",205,"Ecstall",1999,-76.3
"ConservationUnit","spawner","Skeena","Chinook",205,"Ecstall",2000,-5.3
"ConservationUnit","spawner","Skeena","Chinook",205,"Ecstall",2001,-18
"ConservationUnit","spawner","Skeena","Chinook",206,"Kalum-Early",1980,NA
"ConservationUnit","spawner","Skeena","Chinook",206,"Kalum-Early",1981,NA
"ConservationUnit","spawner","Skeena","Chinook",206,"Kalum-Early",1982,NA
"ConservationUnit","spawner","Skeena","Chinook",206,"Kalum-Early",1983,NA
"ConservationUnit","spawner","Skeena","Chinook",206,"Kalum-Early",1984,NA
"ConservationUnit","spawner","Skeena","Chinook",206,"Kalum-Early",1985,-15.6
"ConservationUnit","spawner","Skeena","Chinook",206,"Kalum-Early",1986,-11.4
"ConservationUnit","spawner","Skeena","Chinook",206,"Kalum-Early",1987,8.3
"ConservationUnit","spawner","Skeena","Chinook",206,"Kalum-Early",1988,17.1
"ConservationUnit","spawner","Skeena","Chinook",206,"Kalum-Early",1989,31.4
"ConservationUnit","spawner","Skeena","Chinook",206,"Kalum-Early",1990,64.5
"ConservationUnit","spawner","Skeena","Chinook",206,"Kalum-Early",1991,24.4
"ConservationUnit","spawner","Skeena","Chinook",206,"Kalum-Early",1992,19
"ConservationUnit","spawner","Skeena","Chinook",206,"Kalum-Early",1993,-1.9
"ConservationUnit","spawner","Skeena","Chinook",206,"Kalum-Early",1994,-17.2
"ConservationUnit","spawner","Skeena","Chinook",206,"Kalum-Early",1995,-30.2
"ConservationUnit","spawner","Skeena","Chinook",206,"Kalum-Early",1996,-37.3
"ConservationUnit","spawner","Skeena","Chinook",206,"Kalum-Early",1997,-20
"ConservationUnit","spawner","Skeena","Chinook",206,"Kalum-Early",1998,-18.7
"ConservationUnit","spawner","Skeena","Chinook",206,"Kalum-Early",1999,-28.6
"ConservationUnit","spawner","Skeena","Chinook",206,"Kalum-Early",2000,-15.5
"ConservationUnit","spawner","Skeena","Chinook",206,"Kalum-Early",2001,6.8
"ConservationUnit","spawner","Skeena","Chinook",206,"Kalum-Early",2002,25.6
"ConservationUnit","spawner","Skeena","Chinook",206,"Kalum-Early",2003,37.8
"ConservationUnit","spawner","Skeena","Chinook",206,"Kalum-Early",2004,47.8
"ConservationUnit","spawner","Skeena","Chinook",206,"Kalum-Early",2005,71.6
"ConservationUnit","spawner","Skeena","Chinook",206,"Kalum-Early",2006,59.1
"ConservationUnit","spawner","Skeena","Chinook",206,"Kalum-Early",2007,38.3
"ConservationUnit","spawner","Skeena","Chinook",206,"Kalum-Early",2008,23.2
"ConservationUnit","spawner","Skeena","Chinook",206,"Kalum-Early",2009,-2.3
"ConservationUnit","spawner","Skeena","Chinook",206,"Kalum-Early",2010,-10.4
"ConservationUnit","spawner","Skeena","Chinook",206,"Kalum-Early",2011,-23.8
"ConservationUnit","spawner","Skeena","Chinook",207,"Kalum-Late",1984,NA
"ConservationUnit","spawner","Skeena","Chinook",207,"Kalum-Late",1985,NA
"ConservationUnit","spawner","Skeena","Chinook",207,"Kalum-Late",1986,NA
"ConservationUnit","spawner","Skeena","Chinook",207,"Kalum-Late",1987,NA
"ConservationUnit","spawner","Skeena","Chinook",207,"Kalum-Late",1988,NA
"ConservationUnit","spawner","Skeena","Chinook",207,"Kalum-Late",1989,24.4
"ConservationUnit","spawner","Skeena","Chinook",207,"Kalum-Late",1990,27.6
"ConservationUnit","spawner","Skeena","Chinook",207,"Kalum-Late",1991,28.1
"ConservationUnit","spawner","Skeena","Chinook",207,"Kalum-Late",1992,34.6
"ConservationUnit","spawner","Skeena","Chinook",207,"Kalum-Late",1993,30.9
"ConservationUnit","spawner","Skeena","Chinook",207,"Kalum-Late",1994,28.2
"ConservationUnit","spawner","Skeena","Chinook",207,"Kalum-Late",1995,8.4
"ConservationUnit","spawner","Skeena","Chinook",207,"Kalum-Late",1996,3.8
"ConservationUnit","spawner","Skeena","Chinook",207,"Kalum-Late",1997,-7.4
"ConservationUnit","spawner","Skeena","Chinook",207,"Kalum-Late",1998,-16.2
"ConservationUnit","spawner","Skeena","Chinook",207,"Kalum-Late",1999,-21.3
"ConservationUnit","spawner","Skeena","Chinook",207,"Kalum-Late",2000,-25.4
"ConservationUnit","spawner","Skeena","Chinook",207,"Kalum-Late",2001,-11.7
"ConservationUnit","spawner","Skeena","Chinook",207,"Kalum-Late",2002,-7.7
"ConservationUnit","spawner","Skeena","Chinook",207,"Kalum-Late",2003,15.2
"ConservationUnit","spawner","Skeena","Chinook",207,"Kalum-Late",2004,40.4
"ConservationUnit","spawner","Skeena","Chinook",207,"Kalum-Late",2005,45.9
"ConservationUnit","spawner","Skeena","Chinook",207,"Kalum-Late",2006,41.3
"ConservationUnit","spawner","Skeena","Chinook",207,"Kalum-Late",2007,31.8
"ConservationUnit","spawner","Skeena","Chinook",207,"Kalum-Late",2008,21.5
"ConservationUnit","spawner","Skeena","Chinook",207,"Kalum-Late",2009,7.3
"ConservationUnit","spawner","Skeena","Chinook",207,"Kalum-Late",2010,-6
"ConservationUnit","spawner","Skeena","Chinook",207,"Kalum-Late",2011,-13.9
"ConservationUnit","spawner","Skeena","Chinook",207,"Kalum-Late",2012,-17.9
"ConservationUnit","spawner","Skeena","Chinook",207,"Kalum-Late",2013,-18.4
"ConservationUnit","spawner","Skeena","Chinook",207,"Kalum-Late",2014,-13.1
"ConservationUnit","spawner","Skeena","Chinook",207,"Kalum-Late",2015,-4.3
"ConservationUnit","spawner","Skeena","Chinook",207,"Kalum-Late",2016,-3.2
