"region","species_name","species_qualified","cuid","cu_name_pse","year","observed_count"
"Yukon","Chinook","CK",1201,"Big Salmon",1968,827
"Yukon","Chinook","CK",1201,"Big Salmon",1969,286
"Yukon","Chinook","CK",1201,"Big Salmon",1970,670
"Yukon","Chinook","CK",1201,"Big Salmon",1971,275
"Yukon","Chinook","CK",1201,"Big Salmon",1972,415
"Yukon","Chinook","CK",1201,"Big Salmon",1973,75
"Yukon","Chinook","CK",1201,"Big Salmon",1974,70
"Yukon","Chinook","CK",1201,"Big Salmon",1975,153
"Yukon","Chinook","CK",1201,"Big Salmon",1976,86
"Yukon","Chinook","CK",1201,"Big Salmon",1977,316
"Yukon","Chinook","CK",1201,"Big Salmon",1978,524
"Yukon","Chinook","CK",1201,"Big Salmon",1979,632
"Yukon","Chinook","CK",1201,"Big Salmon",1980,1436
"Yukon","Chinook","CK",1201,"Big Salmon",1981,2411
"Yukon","Chinook","CK",1201,"Big Salmon",1982,758
"Yukon","Chinook","CK",1201,"Big Salmon",1983,540
"Yukon","Chinook","CK",1201,"Big Salmon",1984,1044
"Yukon","Chinook","CK",1201,"Big Salmon",1985,801
"Yukon","Chinook","CK",1201,"Big Salmon",1986,745
"Yukon","Chinook","CK",1201,"Big Salmon",1987,891
"Yukon","Chinook","CK",1201,"Big Salmon",1988,765
"Yukon","Chinook","CK",1201,"Big Salmon",1989,1662
"Yukon","Chinook","CK",1201,"Big Salmon",1990,1806
"Yukon","Chinook","CK",1201,"Big Salmon",1991,1040
"Yukon","Chinook","CK",1201,"Big Salmon",1992,617
"Yukon","Chinook","CK",1201,"Big Salmon",1993,572
"Yukon","Chinook","CK",1201,"Big Salmon",1994,1764
"Yukon","Chinook","CK",1201,"Big Salmon",1995,1314
"Yukon","Chinook","CK",1201,"Big Salmon",1996,2565
"Yukon","Chinook","CK",1201,"Big Salmon",1997,1345
"Yukon","Chinook","CK",1201,"Big Salmon",1998,523
"Yukon","Chinook","CK",1201,"Big Salmon",1999,353
"Yukon","Chinook","CK",1201,"Big Salmon",2000,113
"Yukon","Chinook","CK",1201,"Big Salmon",2001,1020
"Yukon","Chinook","CK",1201,"Big Salmon",2002,1149
"Yukon","Chinook","CK",1201,"Big Salmon",2003,3075
"Yukon","Chinook","CK",1201,"Big Salmon",2004,762
"Yukon","Chinook","CK",1201,"Big Salmon",2005,5618
"Yukon","Chinook","CK",1201,"Big Salmon",2006,1140
"Yukon","Chinook","CK",1201,"Big Salmon",2007,4506
"Yukon","Chinook","CK",1201,"Big Salmon",2008,303
"Yukon","Chinook","CK",1201,"Big Salmon",2009,9261
"Yukon","Chinook","CK",1201,"Big Salmon",2010,3817
"Yukon","Chinook","CK",1201,"Big Salmon",2011,5156
"Yukon","Chinook","CK",1201,"Big Salmon",2012,2584
"Yukon","Chinook","CK",1201,"Big Salmon",2013,3242
"Yukon","Chinook","CK",1201,"Big Salmon",2014,6321
"Yukon","Chinook","CK",1201,"Big Salmon",2015,10078
"Yukon","Chinook","CK",1201,"Big Salmon",2016,6761
"Yukon","Chinook","CK",1201,"Big Salmon",2017,5672
"Yukon","Chinook","CK",1201,"Big Salmon",2018,5159
"Yukon","Chinook","CK",1201,"Big Salmon",2019,3874
"Yukon","Chinook","CK",1201,"Big Salmon",2020,1635
"Yukon","Chinook","CK",1201,"Big Salmon",2021,1958
"Yukon","Chinook","CK",1204,"Middle Yukon",1966,7
"Yukon","Chinook","CK",1204,"Middle Yukon",1968,173
"Yukon","Chinook","CK",1204,"Middle Yukon",1969,120
"Yukon","Chinook","CK",1204,"Middle Yukon",1970,100
"Yukon","Chinook","CK",1204,"Middle Yukon",1971,405
"Yukon","Chinook","CK",1204,"Middle Yukon",1972,206
"Yukon","Chinook","CK",1204,"Middle Yukon",1973,126
"Yukon","Chinook","CK",1204,"Middle Yukon",1974,192
"Yukon","Chinook","CK",1204,"Middle Yukon",1975,175
"Yukon","Chinook","CK",1204,"Middle Yukon",1976,52
"Yukon","Chinook","CK",1204,"Middle Yukon",1977,558
"Yukon","Chinook","CK",1204,"Middle Yukon",1978,530
"Yukon","Chinook","CK",1204,"Middle Yukon",1979,639
"Yukon","Chinook","CK",1204,"Middle Yukon",1980,508
"Yukon","Chinook","CK",1204,"Middle Yukon",1981,803
