"region","species_name","cuid","cu_name_pse","year","estimated_count","observed_count","total_run"
"Yukon","Chinook",1204,"Middle Yukon",1959,NA,68,NA
"Yukon","Chinook",1204,"Middle Yukon",1966,NA,7,NA
"Yukon","Chinook",1204,"Middle Yukon",1968,NA,1030,NA
"Yukon","Chinook",1204,"Middle Yukon",1969,NA,406,NA
"Yukon","Chinook",1204,"Middle Yukon",1970,NA,770,NA
"Yukon","Chinook",1204,"Middle Yukon",1971,NA,680,NA
"Yukon","Chinook",1204,"Middle Yukon",1972,NA,621,NA
"Yukon","Chinook",1204,"Middle Yukon",1973,NA,201,NA
"Yukon","Chinook",1204,"Middle Yukon",1974,NA,262,NA
"Yukon","Chinook",1204,"Middle Yukon",1975,NA,328,NA
"Yukon","Chinook",1204,"Middle Yukon",1976,NA,138,NA
"Yukon","Chinook",1204,"Middle Yukon",1977,NA,874,NA
"Yukon","Chinook",1204,"Middle Yukon",1978,NA,1054,NA
"Yukon","Chinook",1204,"Middle Yukon",1979,NA,1271,NA
"Yukon","Chinook",1204,"Middle Yukon",1980,NA,1944,NA
"Yukon","Chinook",1204,"Middle Yukon",1981,NA,3214,NA
"Yukon","Chinook",1204,"Middle Yukon",1982,NA,1234,NA
"Yukon","Chinook",1204,"Middle Yukon",1983,NA,905,NA
"Yukon","Chinook",1204,"Middle Yukon",1984,NA,1631,NA
"Yukon","Chinook",1204,"Middle Yukon",1985,NA,1246,NA
"Yukon","Chinook",1204,"Middle Yukon",1986,NA,954,NA
"Yukon","Chinook",1204,"Middle Yukon",1987,NA,1518,NA
"Yukon","Chinook",1204,"Middle Yukon",1988,NA,1285,NA
"Yukon","Chinook",1204,"Middle Yukon",1989,NA,2624,NA
"Yukon","Chinook",1204,"Middle Yukon",1990,NA,3114,NA
"Yukon","Chinook",1204,"Middle Yukon",1991,NA,1366,NA
"Yukon","Chinook",1204,"Middle Yukon",1992,NA,1217,NA
"Yukon","Chinook",1204,"Middle Yukon",1993,NA,939,NA
"Yukon","Chinook",1204,"Middle Yukon",1994,NA,2967,NA
"Yukon","Chinook",1204,"Middle Yukon",1995,NA,2492,NA
"Yukon","Chinook",1204,"Middle Yukon",1996,NA,4138,NA
"Yukon","Chinook",1204,"Middle Yukon",1997,NA,3568,NA
"Yukon","Chinook",1204,"Middle Yukon",1998,NA,1289,NA
"Yukon","Chinook",1204,"Middle Yukon",1999,NA,1117,NA
"Yukon","Chinook",1204,"Middle Yukon",2000,NA,159,NA
"Yukon","Chinook",1204,"Middle Yukon",2001,NA,2055,NA
"Yukon","Chinook",1204,"Middle Yukon",2002,NA,1676,NA
"Yukon","Chinook",1204,"Middle Yukon",2003,NA,4733,NA
"Yukon","Chinook",1204,"Middle Yukon",2004,NA,1952,NA
"Yukon","Chinook",1204,"Middle Yukon",2005,NA,2471,NA
"Yukon","Chinook",1204,"Middle Yukon",2006,NA,2521,NA
"Yukon","Chinook",1204,"Middle Yukon",2007,NA,1052,NA
"Yukon","Chinook",1204,"Middle Yukon",2008,NA,396,NA
"Yukon","Chinook",1202,"Nordenskiold",1973,NA,1,NA
"Yukon","Chinook",1202,"Nordenskiold",1977,NA,678,NA
"Yukon","Chinook",1202,"Nordenskiold",1978,NA,25,NA
"Yukon","Chinook",1207,"Northern Yukon",1956,NA,2,NA
"Yukon","Chinook",1207,"Northern Yukon",1972,NA,100,NA
"Yukon","Chinook",1207,"Northern Yukon",1973,NA,29134,NA
"Yukon","Chinook",1207,"Northern Yukon",1974,NA,36774,NA
"Yukon","Chinook",1207,"Northern Yukon",1975,NA,170,NA
"Yukon","Chinook",1207,"Northern Yukon",1977,NA,9,NA
"Yukon","Chinook",1207,"Northern Yukon",1981,NA,1,NA
"Yukon","Chinook",1207,"Northern Yukon",1982,NA,19870,NA
"Yukon","Chinook",1207,"Northern Yukon",1983,NA,28989,NA
"Yukon","Chinook",1207,"Northern Yukon",1984,NA,27616,NA
"Yukon","Chinook",1207,"Northern Yukon",1985,NA,10730,NA
"Yukon","Chinook",1207,"Northern Yukon",1986,NA,16415,NA
"Yukon","Chinook",1207,"Northern Yukon",1987,NA,13260,NA
"Yukon","Chinook",1207,"Northern Yukon",1988,NA,23118,NA
"Yukon","Chinook",1207,"Northern Yukon",1989,NA,25201,NA
"Yukon","Chinook",1207,"Northern Yukon",1990,NA,37699,NA
"Yukon","Chinook",1207,"Northern Yukon",1991,NA,20743,NA
"Yukon","Chinook",1207,"Northern Yukon",1992,NA,25382,NA
"Yukon","Chinook",1207,"Northern Yukon",1993,NA,28558,NA
"Yukon","Chinook",1207,"Northern Yukon",1994,NA,25890,NA
"Yukon","Chinook",1207,"Northern Yukon",1995,NA,32262,NA
"Yukon","Chinook",1207,"Northern Yukon",1996,NA,28409,NA
"Yukon","Chinook",1207,"Northern Yukon",1997,NA,37683,NA
"Yukon","Chinook",1207,"Northern Yukon",1998,NA,16882,NA
"Yukon","Chinook",1207,"Northern Yukon",1999,NA,12542,NA
"Yukon","Chinook",1207,"Northern Yukon",2002,NA,49313,NA
"Yukon","Chinook",1207,"Northern Yukon",2003,NA,57032,NA
"Yukon","Chinook",1207,"Northern Yukon",2004,NA,48201,NA
"Yukon","Chinook",1207,"Northern Yukon",2005,NA,42318,NA
"Yukon","Chinook",1207,"Northern Yukon",2006,NA,36748,NA
"Yukon","Chinook",1203,"Pelly",1968,NA,329,NA
"Yukon","Chinook",1203,"Pelly",1969,NA,25,NA
"Yukon","Chinook",1203,"Pelly",1972,NA,166,NA
"Yukon","Chinook",1203,"Pelly",1973,NA,34,NA
"Yukon","Chinook",1203,"Pelly",1981,NA,1344,NA
"Yukon","Chinook",1203,"Pelly",1982,NA,219,NA
"Yukon","Chinook",1203,"Pelly",1983,NA,74,NA
"Yukon","Chinook",1203,"Pelly",1984,NA,151,NA
"Yukon","Chinook",1203,"Pelly",1985,NA,23,NA
"Yukon","Chinook",1203,"Pelly",1986,NA,72,NA
"Yukon","Chinook",1203,"Pelly",1987,NA,180,NA
"Yukon","Chinook",1203,"Pelly",1988,NA,242,NA
"Yukon","Chinook",1203,"Pelly",1989,NA,433,NA
"Yukon","Chinook",1203,"Pelly",1990,NA,457,NA
"Yukon","Chinook",1203,"Pelly",1991,NA,250,NA
"Yukon","Chinook",1203,"Pelly",1992,NA,423,NA
"Yukon","Chinook",1203,"Pelly",1993,NA,400,NA
"Yukon","Chinook",1203,"Pelly",1994,NA,506,NA
"Yukon","Chinook",1203,"Pelly",1995,NA,1079,NA
"Yukon","Chinook",1203,"Pelly",1996,NA,524,NA
"Yukon","Chinook",1203,"Pelly",1997,NA,957,NA
"Yukon","Chinook",1203,"Pelly",1998,NA,373,NA
"Yukon","Chinook",1203,"Pelly",1999,NA,892,NA
"Yukon","Chinook",1209,"Porcupine",1972,NA,45,NA
"Yukon","Chinook",1209,"Porcupine",1974,NA,117,NA
"Yukon","Chinook",1205,"Stewart",1956,NA,1,NA
"Yukon","Chinook",1205,"Stewart",1968,NA,142,NA
"Yukon","Chinook",1205,"Stewart",1969,NA,4,NA
"Yukon","Chinook",1205,"Stewart",1972,NA,26,NA
"Yukon","Chinook",1205,"Stewart",1974,NA,42,NA
"Yukon","Chinook",1205,"Stewart",1977,NA,43,NA
"Yukon","Chinook",1205,"Stewart",1981,NA,17,NA
"Yukon","Chinook",1205,"Stewart",1982,NA,77,NA
"Yukon","Chinook",1205,"Stewart",1983,NA,8,NA
"Yukon","Chinook",1212,"Teslin",1968,NA,814,NA
"Yukon","Chinook",1212,"Teslin",1969,NA,217,NA
"Yukon","Chinook",1212,"Teslin",1970,NA,1352,NA
"Yukon","Chinook",1212,"Teslin",1971,NA,1750,NA
"Yukon","Chinook",1212,"Teslin",1972,NA,333,NA
"Yukon","Chinook",1212,"Teslin",1973,NA,66,NA
"Yukon","Chinook",1212,"Teslin",1974,NA,48,NA
"Yukon","Chinook",1212,"Teslin",1975,NA,361,NA
"Yukon","Chinook",1212,"Teslin",1976,NA,102,NA
"Yukon","Chinook",1212,"Teslin",1977,NA,122,NA
"Yukon","Chinook",1212,"Teslin",1978,NA,375,NA
"Yukon","Chinook",1212,"Teslin",1979,NA,896,NA
"Yukon","Chinook",1212,"Teslin",1980,NA,2271,NA
"Yukon","Chinook",1212,"Teslin",1981,NA,4800,NA
"Yukon","Chinook",1212,"Teslin",1982,NA,1578,NA
"Yukon","Chinook",1212,"Teslin",1983,NA,1381,NA
"Yukon","Chinook",1212,"Teslin",1984,NA,956,NA
"Yukon","Chinook",1212,"Teslin",1985,NA,519,NA
"Yukon","Chinook",1212,"Teslin",1986,NA,568,NA
"Yukon","Chinook",1212,"Teslin",1987,NA,218,NA
"Yukon","Chinook",1212,"Teslin",1988,NA,333,NA
"Yukon","Chinook",1212,"Teslin",1989,NA,841,NA
"Yukon","Chinook",1212,"Teslin",1990,NA,840,NA
"Yukon","Chinook",1212,"Teslin",1991,NA,201,NA
"Yukon","Chinook",1212,"Teslin",1992,NA,351,NA
"Yukon","Chinook",1212,"Teslin",1993,NA,507,NA
"Yukon","Chinook",1212,"Teslin",1994,NA,942,NA
"Yukon","Chinook",1212,"Teslin",1995,NA,794,NA
"Yukon","Chinook",1212,"Teslin",1996,NA,1654,NA
"Yukon","Chinook",1212,"Teslin",1997,NA,875,NA
"Yukon","Chinook",1212,"Teslin",1998,NA,291,NA
