"main_dataset_exported","R_script","date_export","all_areas_nuseds_file_name","conservation_unit_system_sites_file_name","remove_timeSeries_zeros_too","replace_zeros_byNAs"
"NuSEDS_escapement_data_collated_20240419","1_nuseds_collation.r","2024-04-19","all_areas_nuseds_20240122","conservation_unit_system_sites_20240122",TRUE,TRUE
"2_nuseds_cuid_streamid_2024-04-19","2_nuseds_cuid_pse.r","2024-04-19","all_areas_nuseds_20240122","conservation_unit_system_sites_20240122",TRUE,TRUE
"1_NuSEDS_escapement_data_collated_2024-11-21","1_nuseds_collation.rmd","2024-11-21","all_areas_nuseds_20240122","conservation_unit_system_sites_2024-09-03",TRUE,FALSE
"2_nuseds_cuid_streamid_2024-11-21","2_nuseds_cuid_pse.r","2024-11-21","all_areas_nuseds_20240122","conservation_unit_system_sites_2024-09-03",TRUE,FALSE
"1_NuSEDS_escapement_data_collated_2024-11-22","1_nuseds_collation.rmd","2024-11-22","all_areas_nuseds_20240122","conservation_unit_system_sites_2024-09-03",TRUE,FALSE
"2_nuseds_cuid_streamid_2024-11-22","2_nuseds_cuid_pse.r","2024-11-22","all_areas_nuseds_20240122","conservation_unit_system_sites_2024-09-03",TRUE,FALSE
"2_nuseds_cuid_streamid_2024-11-25","2_nuseds_cuid_pse.r","2024-11-25","all_areas_nuseds_20240122","conservation_unit_system_sites_2024-09-03",TRUE,FALSE
"1_NuSEDS_escapement_data_collated_2025-02-21","1_nuseds_collation.rmd","2025-02-21","all_areas_nuseds_2025-02-21.csv","conservation_unit_system_sites_2025-02-20.csv",TRUE,TRUE
"1_NuSEDS_escapement_data_collated_2025-02-26","1_nuseds_collation.rmd","2025-02-26","all_areas_nuseds_2025-02-21.csv","conservation_unit_system_sites_2025-02-20.csv",TRUE,TRUE
"1_NuSEDS_escapement_data_collated_2025-03-18","1_nuseds_collation.rmd","2025-03-18","all_areas_nuseds_2025-02-21.csv","conservation_unit_system_sites_2025-02-20.csv",TRUE,TRUE
"1_NuSEDS_escapement_data_collated_2025-03-24","1_nuseds_collation.rmd","2025-03-24","all_areas_nuseds_2025-02-21.csv","conservation_unit_system_sites_2025-02-20.csv",TRUE,TRUE
"2_nuseds_cuid_streamid_2025-03-26","2_nuseds_cuid_pse.rmd","2025-03-26","all_areas_nuseds_2025-02-21.csv","conservation_unit_system_sites_2025-02-20.csv",TRUE,TRUE
"1_NuSEDS_escapement_data_collated_2025-04-03","1_nuseds_collation.rmd","2025-04-03","all_areas_nuseds_2025-02-21.csv","conservation_unit_system_sites_2025-02-20.csv",TRUE,TRUE
"1_NuSEDS_escapement_data_collated_2025-04-03","1_nuseds_collation.rmd","2025-04-03","all_areas_nuseds_2025-02-21.csv","conservation_unit_system_sites_2025-02-20.csv",TRUE,TRUE
"1_NuSEDS_escapement_data_collated_2025-04-04","1_nuseds_collation.rmd","2025-04-04","all_areas_nuseds_2025-02-21.csv","conservation_unit_system_sites_2025-02-20.csv",TRUE,TRUE
"2_nuseds_cuid_streamid_2025-04-07","2_nuseds_cuid_pse.rmd","2025-04-07","all_areas_nuseds_2025-02-21.csv","conservation_unit_system_sites_2025-02-20.csv",TRUE,TRUE
"2_nuseds_cuid_streamid_2025-04-07","2_nuseds_cuid_pse.rmd","2025-04-07","all_areas_nuseds_2025-02-21.csv","conservation_unit_system_sites_2025-02-20.csv",TRUE,TRUE
"2_nuseds_cuid_streamid_2025-04-07","2_nuseds_cuid_pse.rmd","2025-04-07","all_areas_nuseds_2025-02-21.csv","conservation_unit_system_sites_2025-02-20.csv",TRUE,TRUE
"2_nuseds_cuid_streamid_2025-04-07","2_nuseds_cuid_pse.rmd","2025-04-07","all_areas_nuseds_2025-02-21.csv","conservation_unit_system_sites_2025-02-20.csv",TRUE,TRUE
"1_NuSEDS_escapement_data_collated_2025-04-15","1_nuseds_collation.rmd","2025-04-15","all_areas_nuseds_2025-02-21.csv","conservation_unit_system_sites_2025-02-20.csv",FALSE,FALSE
"2_nuseds_cuid_streamid_2025-04-15","2_nuseds_cuid_pse.rmd","2025-04-15","all_areas_nuseds_2025-02-21.csv","conservation_unit_system_sites_2025-02-20.csv",FALSE,FALSE
"2_nuseds_cuid_streamid_2025-04-15","2_nuseds_cuid_pse.rmd","2025-04-15","all_areas_nuseds_2025-02-21.csv","conservation_unit_system_sites_2025-02-20.csv",FALSE,FALSE
