parameter,location,species,year,datavalue
run_time,Ecstall,Chinook,,8.5
run_time,Kalum-Early,Chinook,,-38.5
run_time,Kalum-Late,Chinook,,8.5
run_time,Lakelse,Chinook,,8.5
run_time,Lower Skeena,Chinook,,8.5
run_time,Middle Skeena-Large Lakes,Chinook,,8.5
run_time,Middle Skeena-Mainstem Tributaries,Chinook,,8.5
run_time,Okanagan,Chinook,,73
run_time,Sicintine,Chinook,,
run_time,Skeena Estuary,Chinook,,8.5
run_time,Upper Bulkley River,Chinook,,-38.5
run_time,Upper Skeena,Chinook,,8.5
run_time,Zymoetz,Chinook,,8.5
run_time,Lower Skeena,Chum,,27.5
run_time,Middle Skeena,Chum,,27.5
run_time,Skeena Estuary,Chum,,27.5
run_time,Upper Skeena,Chum,,27.5
run_time,Lower Skeena,Coho,,51.5
run_time,Middle Skeena,Coho,,18.5
run_time,Skeena Estuary,Coho,,18.5
run_time,Upper Skeena,Coho,,18.5
run_time,Adams & Momich Lakes-Early Summer,Lake sockeye,,4
run_time,Alastair,Lake sockeye,,-14
run_time,Anderson-Seton-Early Summer,Lake sockeye,,4
run_time,Asitika,Lake sockeye,,-3.5
run_time,Azuklotz,Lake sockeye,,-3.5
run_time,Babine (enhanced),Lake sockeye,,0
run_time,Babine/Onerka,Lake sockeye,,-10.5
run_time,Bear,Lake sockeye,,-3.5
run_time,Bowron-Early Summer,Lake sockeye,,4
run_time,Bulkley/Maxan,Lake sockeye,,-10.5
run_time,Chilko-Early Summer,Lake sockeye,,4
run_time,Chilko-Summer,Lake sockeye,,14
run_time,Chilliwack-Early Summer (cyclic),Lake sockeye,,4
run_time,Cultus-Late,Lake sockeye,,22
run_time,Damshilgwit,Lake sockeye,,-3.5
run_time,Ecstall/Lower,Lake sockeye,,-21
run_time,Footsore/Hodder,Lake sockeye,,
run_time,Francois-Fraser-Summer,Lake sockeye,,14
run_time,Gitanyow (Kitwanga/Kitwancool),Lake sockeye,,3.5
run_time,Harrison-Downstream Migrating-Late,Lake sockeye,,22
run_time,Harrison-Upstream Migrating-Late,Lake sockeye,,22
run_time,Harrison River (river-type),Lake sockeye,,14
run_time,Johanson,Lake sockeye,,-3.5
run_time,Johnston,Lake sockeye,,-21
run_time,Kamloops-Early Summer,Lake sockeye,,4
run_time,Kitsumkalum,Lake sockeye,,-3.5
run_time,Kluatantan,Lake sockeye,,-10.5
run_time,Kluayaz,Lake sockeye,,-10.5
run_time,Lakelse,Lake sockeye,,-21
